[2024-01-06 19:53:25,192: INFO: test: Welcome to Eir!]
[2024-01-06 20:20:26,273: INFO: test: Welcome to Eir!]
[2024-01-06 20:44:52,594: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 20:47:26,368: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 20:47:26,373: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 20:47:26,376: INFO: common: created directory at: artifacts]
[2024-01-06 20:47:26,381: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-06 20:47:26,385: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-06 20:51:16,744: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 00:28:16,417: INFO: utils: Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.]
[2024-01-07 00:28:16,418: INFO: utils: NumExpr defaulting to 8 threads.]
[2024-01-07 00:28:21,106: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-07 00:28:21,109: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-07 00:28:21,111: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-07 00:28:21,112: INFO: common: created directory at: artifacts]
[2024-01-07 00:28:21,119: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-07 00:28:21,122: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 00:31:43,311: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 00:31:44,129: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
